,Name,Movie,Edition,Year of award,Award,Win?
0,Richard Barthelmess,The Noose,1,1927,LeadingActor,False
1,Richard Barthelmess,The Patent Leather Kid,1,1927,LeadingActor,False
2,Emil Jannings,The Last Command,1,1927,LeadingActor,True
3,Emil Jannings,The Way of All Flesh,1,1927,LeadingActor,True
4,Louise Dresser,A Ship Comes In,1,1927,LeadingActress,False
5,Janet Gaynor,7th Heaven,1,1927,LeadingActress,True
6,Janet Gaynor,Street Angel,1,1927,LeadingActress,True
7,Janet Gaynor,Sunrise,1,1927,LeadingActress,True
8,Gloria Swanson,Sadie Thompson,1,1927,LeadingActress,False
9,George Bancroft,Thunderbolt,2,1928,LeadingActor,True
10,Warner Baxter,In Old Arizona,2,1928,LeadingActor,False
11,Chester Morris,Alibi,2,1928,LeadingActor,True
12,Paul Muni,The Valiant,2,1928,LeadingActor,True
13,Lewis Stone,The Patriot,2,1928,LeadingActor,True
14,Ruth Chatterton,Madame X,2,1928,LeadingActress,True
15,Betty Compson,The Barker,2,1928,LeadingActress,True
16,Jeanne Eagels,The Letter,2,1928,LeadingActress,True
17,Corinne Griffith,The Divine Lady,2,1928,LeadingActress,True
18,Bessie Love,The Broadway Melody,2,1928,LeadingActress,True
19,Mary Pickford,Coquette,2,1928,LeadingActress,False
20,George Arliss,The Green Goddess,3,1929,LeadingActor,True
21,Wallace Beery,The Big House,3,1929,LeadingActor,False
22,Maurice Chevalier,The Big Pond,3,1929,LeadingActor,False
23,Maurice Chevalier,The Love Parade,3,1929,LeadingActor,False
24,Ronald Colman,Bulldog Drummond,3,1929,LeadingActor,False
25,Ronald Colman,Condemned,3,1929,LeadingActor,False
26,Lawrence Tibbett,The Rogue Song,3,1929,LeadingActor,False
27,Nancy Carroll,The Devil's Holiday,3,1929,LeadingActress,False
28,Ruth Chatterton,Sarah and Son,3,1929,LeadingActress,False
29,Greta Garbo,Anna Christie,3,1929,LeadingActress,False
30,Greta Garbo,Romance,3,1929,LeadingActress,False
31,Norma Shearer,Their Own Desire,3,1929,LeadingActress,True
32,Gloria Swanson,The Trespasser,3,1929,LeadingActress,False
33,Lionel Barrymore,A Free Soul,4,1930,LeadingActor,True
34,Jackie Cooper,Skippy,4,1930,LeadingActor,False
35,Richard Dix,Cimarron,4,1930,LeadingActor,False
36,Fredric March,The Royal Family of Broadway,4,1930,LeadingActor,False
37,Adolphe Menjou,The Front Page,4,1930,LeadingActor,False
38,Marlene Dietrich,Morocco,4,1930,LeadingActress,False
39,Marie Dressler,Min and Bill,4,1930,LeadingActress,True
40,Irene Dunne,Cimarron,4,1930,LeadingActress,False
41,Ann Harding,Holiday,4,1930,LeadingActress,False
42,Norma Shearer,A Free Soul,4,1930,LeadingActress,False
43,Wallace Beery,The Champ,5,1931,LeadingActor,False
44,Alfred Lunt,The Guardsman,5,1931,LeadingActor,False
45,Fredric March,Dr. Jekyll and Mr. Hyde,5,1931,LeadingActor,False
46,Marie Dressler,Emma,5,1931,LeadingActress,False
47,Lynn Fontanne,The Guardsman,5,1931,LeadingActress,False
48,Helen Hayes,The Sin of Madelon Claudet,5,1931,LeadingActress,True
49,Leslie Howard,Berkeley Square,6,1932,LeadingActor,False
50,Charles Laughton,The Private Life of Henry VIII,6,1932,LeadingActor,True
51,Paul Muni,I Am a Fugitive from a Chain Gang,6,1932,LeadingActor,False
52,Katharine Hepburn,Morning Glory,6,1932,LeadingActress,True
53,May Robson,Lady for a Day,6,1932,LeadingActress,False
54,Diana Wynyard,Cavalcade,6,1932,LeadingActress,False
55,Clark Gable,It Happened One Night,7,1934,LeadingActor,True
56,Frank Morgan,The Affairs of Cellini,7,1934,LeadingActor,False
57,William Powell,The Thin Man,7,1934,LeadingActor,False
58,Claudette Colbert,It Happened One Night,7,1934,LeadingActress,True
59,Bette Davis,Of Human Bondage,7,1934,LeadingActress,True
60,Grace Moore,One Night of Love,7,1934,LeadingActress,False
61,Norma Shearer,The Barretts of Wimpole Street,7,1934,LeadingActress,False
62,Clark Gable,Mutiny on the Bounty,8,1935,LeadingActor,False
63,Charles Laughton,Mutiny on the Bounty,8,1935,LeadingActor,False
64,Victor McLaglen,The Informer,8,1935,LeadingActor,True
65,Paul Muni,Black Fury,8,1935,LeadingActor,True
66,Franchot Tone,Mutiny on the Bounty,8,1935,LeadingActor,False
67,Elisabeth Bergner,Escape Me Never,8,1935,LeadingActress,False
68,Claudette Colbert,Private Worlds,8,1935,LeadingActress,False
69,Bette Davis,Dangerous,8,1935,LeadingActress,True
70,Katharine Hepburn,Alice Adams,8,1935,LeadingActress,False
71,Miriam Hopkins,Becky Sharp,8,1935,LeadingActress,False
72,Merle Oberon,The Dark Angel,8,1935,LeadingActress,False
73,Gary Cooper,Mr. Deeds Goes to Town,9,1936,LeadingActor,False
74,Walter Huston,Dodsworth,9,1936,LeadingActor,False
75,Paul Muni,The Story of Louis Pasteur,9,1936,LeadingActor,True
76,William Powell,My Man Godfrey,9,1936,LeadingActor,False
77,Spencer Tracy,San Francisco,9,1936,LeadingActor,False
78,Mischa Auer,My Man Godfrey,9,1936,SupportingActor,False
79,Walter Brennan,Come and Get It,9,1936,SupportingActor,True
80,Stuart Erwin,Pigskin Parade,9,1936,SupportingActor,False
81,Basil Rathbone,Romeo and Juliet,9,1936,SupportingActor,False
82,Akim Tamiroff,The General Died at Dawn,9,1936,SupportingActor,False
83,Irene Dunne,Theodora Goes Wild,9,1936,LeadingActress,False
84,Gladys George,Valiant Is the Word for Carrie,9,1936,LeadingActress,False
85,Carole Lombard,My Man Godfrey,9,1936,LeadingActress,False
86,Luise Rainer,The Great Ziegfeld,9,1936,LeadingActress,True
87,Norma Shearer,Romeo and Juliet,9,1936,LeadingActress,False
88,Beulah Bondi,The Gorgeous Hussy,9,1936,SupportingActress,False
89,Alice Brady,My Man Godfrey,9,1936,SupportingActress,False
90,Bonita Granville,These Three,9,1936,SupportingActress,False
91,Maria Ouspenskaya,Dodsworth,9,1936,SupportingActress,False
92,Gale Sondergaard,Anthony Adverse,9,1936,SupportingActress,True
93,Charles Boyer,Conquest,10,1937,LeadingActor,False
94,Fredric March,A Star Is Born,10,1937,LeadingActor,False
95,Robert Montgomery,Night Must Fall,10,1937,LeadingActor,False
96,Paul Muni,The Life of Emile Zola,10,1937,LeadingActor,False
97,Spencer Tracy,Captains Courageous,10,1937,LeadingActor,True
98,Ralph Bellamy,The Awful Truth,10,1937,SupportingActor,False
99,Thomas Mitchell,The Hurricane,10,1937,SupportingActor,False
100,Joseph Schildkraut,The Life of Emile Zola,10,1937,SupportingActor,True
101,H. B. Warner,Lost Horizon,10,1937,SupportingActor,False
102,Roland Young,Topper,10,1937,SupportingActor,False
103,Irene Dunne,The Awful Truth,10,1937,LeadingActress,False
104,Greta Garbo,Camille,10,1937,LeadingActress,False
105,Janet Gaynor,A Star Is Born,10,1937,LeadingActress,False
106,Luise Rainer,The Good Earth,10,1937,LeadingActress,True
107,Barbara Stanwyck,Stella Dallas,10,1937,LeadingActress,False
108,Alice Brady,In Old Chicago,10,1937,SupportingActress,True
109,Andrea Leeds,Stage Door,10,1937,SupportingActress,False
110,Anne Shirley,Stella Dallas,10,1937,SupportingActress,False
111,Claire Trevor,Dead End,10,1937,SupportingActress,False
112,Dame May Whitty,Night Must Fall,10,1937,SupportingActress,False
113,Charles Boyer,Algiers,11,1938,LeadingActor,False
114,James Cagney,Angels with Dirty Faces,11,1938,LeadingActor,False
115,Robert Donat,The Citadel,11,1938,LeadingActor,False
116,Leslie Howard,Pygmalion,11,1938,LeadingActor,False
117,Spencer Tracy,Boys Town,11,1938,LeadingActor,True
118,Walter Brennan,Kentucky,11,1938,SupportingActor,True
119,John Garfield,Four Daughters,11,1938,SupportingActor,False
120,Gene Lockhart,Algiers,11,1938,SupportingActor,False
121,Robert Morley,Marie Antoinette,11,1938,SupportingActor,False
122,Basil Rathbone,If I Were King,11,1938,SupportingActor,False
123,Fay Bainter,White Banners,11,1938,LeadingActress,False
124,Bette Davis,Jezebel,11,1938,LeadingActress,True
125,Wendy Hiller,Pygmalion,11,1938,LeadingActress,False
126,Norma Shearer,Marie Antoinette,11,1938,LeadingActress,False
127,Margaret Sullavan,Three Comrades,11,1938,LeadingActress,False
128,Fay Bainter,Jezebel,11,1938,SupportingActress,True
129,Beulah Bondi,Of Human Hearts,11,1938,SupportingActress,False
130,Billie Burke,Merrily We Live,11,1938,SupportingActress,False
131,Spring Byington,You Can't Take It with You,11,1938,SupportingActress,False
132,Miliza Korjus,The Great Waltz,11,1938,SupportingActress,False
133,Robert Donat,"Goodbye, Mr. Chips",12,1939,LeadingActor,True
