,Name,Movie,Edition,Year of award,Award,Win?
0,Richard Barthelmess,The Noose,1,1928,LeadingActor,False
1,Richard Barthelmess,The Patent Leather Kid,1,1928,LeadingActor,False
2,Emil Jannings,The Last Command,1,1928,LeadingActor,True
3,Emil Jannings,The Way of All Flesh,1,1928,LeadingActor,True
4,Louise Dresser,A Ship Comes In,1,1928,LeadingActress,False
5,Janet Gaynor,7th Heaven,1,1928,LeadingActress,True
6,Janet Gaynor,Street Angel,1,1928,LeadingActress,True
7,Janet Gaynor,Sunrise,1,1928,LeadingActress,True
8,Gloria Swanson,Sadie Thompson,1,1928,LeadingActress,False
9,George Barnes,The Devil Dancer;,1,1928,Cinematography,False
10,George Barnes,The Magic Flame;,1,1928,Cinematography,False
11,George Barnes,Sadie Thompson,1,1928,Cinematography,False
12,Charles Rosher,Sunrise,1,1928,Cinematography,False
13,Karl Struss,Sunrise,1,1928,Cinematography,False
14,Lewis Milestone,Two Arabian Knights,1,1928,Director,True
15,Ted Wilde,Speedy,1,1928,Director,False
16,Frank Borzage,7th Heaven,1,1928,Director,True
17,Herbert Brenon,Sorrell and Son,1,1928,Director,False
18,King Vidor,The Crowd,1,1928,Director,False
19,George Bancroft,Thunderbolt,2,1929,LeadingActor,True
20,Warner Baxter,In Old Arizona,2,1929,LeadingActor,False
21,Chester Morris,Alibi,2,1929,LeadingActor,True
22,Paul Muni,The Valiant,2,1929,LeadingActor,True
23,Lewis Stone,The Patriot,2,1929,LeadingActor,True
24,Ruth Chatterton,Madame X,2,1929,LeadingActress,True
25,Betty Compson,The Barker,2,1929,LeadingActress,True
26,Jeanne Eagels,The Letter,2,1929,LeadingActress,True
27,Corinne Griffith,The Divine Lady,2,1929,LeadingActress,True
28,Bessie Love,The Broadway Melody,2,1929,LeadingActress,True
29,Mary Pickford,Coquette,2,1929,LeadingActress,False
30,George Barnes,Our Dancing Daughters,2,1929,Cinematography,True
31,Clyde De Vinna,White Shadows in the South Seas,2,1929,Cinematography,False
32,Arthur Edeson,In Old Arizona,2,1929,Cinematography,True
33,Ernest Palmer,Four Devils;,2,1929,Cinematography,True
34,Ernest Palmer,Street Angel,2,1929,Cinematography,True
35,John Seitz,The Divine Lady,2,1929,Cinematography,True
