	Name	Movie	Year of award	bioID	year_awarded	movieID
0	Richard Barthelmess	The Noose	1928	https://www.imdb.com/name/nm0001932/	1928	https://www.imdb.com/title/tt0019217/
1	Richard Barthelmess	The Patent Leather Kid	1928	https://www.imdb.com/name/nm0001932/	1928	https://www.imdb.com/title/tt0018253/
2	Emil Jannings	The Last Command	1928	https://www.imdb.com/name/nm0417837/	1928	https://www.imdb.com/title/tt0019071/
3	Emil Jannings	The Way of All Flesh	1928	https://www.imdb.com/name/nm0417837/	1928	https://www.imdb.com/title/tt0019553/
4	Louise Dresser	A Ship Comes In	1928	https://www.imdb.com/name/nm0237571/	1928	https://www.imdb.com/title/tt0018389/
5	Janet Gaynor	7th Heaven	1928	https://www.imdb.com/name/nm0310980/	1928	https://www.imdb.com/title/tt0018379/
6	Janet Gaynor	Street Angel	1928	https://www.imdb.com/name/nm0310980/	1928	https://www.imdb.com/title/tt0019429/
7	Janet Gaynor	Sunrise	1928	https://www.imdb.com/name/nm0310980/	1928	https://www.imdb.com/title/tt0018455/
8	Gloria Swanson	Sadie Thompson	1928	https://www.imdb.com/name/nm0841797/	1928	https://www.imdb.com/title/tt0019344/
9	George Barnes	The Devil Dancer;	1928	https://www.imdb.com/name/nm0055604/	1928	https://www.imdb.com/title/tt0017806/
10	George Barnes	The Magic Flame;	1928	https://www.imdb.com/name/nm0055604/	1928	https://www.imdb.com/title/tt0018129/
11	George Barnes	Sadie Thompson	1928	https://www.imdb.com/name/nm0055604/	1928	https://www.imdb.com/title/tt0019344/
12	Charles Rosher	Sunrise	1928	https://www.imdb.com/name/nm0003546/	1928	https://www.imdb.com/title/tt0018455/
13	Karl Struss	Sunrise	1928	https://www.imdb.com/name/nm0835365/	1928	https://www.imdb.com/title/tt0018455/
14	Lewis Milestone	Two Arabian Knights	1928	https://www.imdb.com/name/nm0587277/	1928	https://www.imdb.com/title/tt0018515/
15	Ted Wilde	Speedy	1928	https://www.imdb.com/name/nm0928514/	1928	https://www.imdb.com/title/tt0018435/
16	Frank Borzage	7th Heaven	1928	https://www.imdb.com/name/nm0097648/	1928	https://www.imdb.com/title/tt0018379/
17	Herbert Brenon	Sorrell and Son	1928	https://www.imdb.com/name/nm0107543/	1928	https://www.imdb.com/title/tt0018429/
18	King Vidor	The Crowd	1928	https://www.imdb.com/name/nm0896542/	1928	https://www.imdb.com/title/tt0018806/
