	Year of award	Movie	movieID	year_awarded
0	1940	Arise, My Love	https://www.imdb.com/title/tt0032220/	1940
1	1954	On the Waterfront	https://www.imdb.com/title/tt0047677/	1954
2	1986	Hannah and Her Sisters	https://www.imdb.com/title/tt0091167/	1986
3	1957	Written on the Wind	https://www.imdb.com/title/tt0049966/	1957
4	1954	The Country Girl	https://www.imdb.com/title/tt0046874/	1954
5	1955	Mister Roberts	https://www.imdb.com/title/tt0048380/	1955
6	1968	Cool Hand Luke	https://www.imdb.com/title/tt0061512/	1968
7	1963	Hud	https://www.imdb.com/title/tt0057163/	1963
8	1958	The Big Country	https://www.imdb.com/title/tt0051411/	1958
9	1936	Anthony Adverse	https://www.imdb.com/title/tt0027300/	1936
10	1994	The Madness of King George	https://www.imdb.com/title/tt0110428/	1994
11	1955	20,000 Leagues Under the Sea	https://www.imdb.com/title/tt0046672/	1955
12	2010	The Social Network	https://www.imdb.com/title/tt1285016/	2010
13	2002	The Pianist	https://www.imdb.com/title/tt0254686/	2002
14	2004	Eternal Sunshine of the Spotless Mind	https://www.imdb.com/title/tt0338013/	2004
15	1945	A Tree Grows in Brooklyn	https://www.imdb.com/title/tt0038190/	1945
16	1960	Porgy and Bess	https://www.imdb.com/title/tt0053182/	1960
17	1965	My Fair Lady	https://www.imdb.com/title/tt0058385/	1965
18	1974	The Godfather Part II	https://www.imdb.com/title/tt0068646/	1974
19	2007	No Country for Old Men	https://www.imdb.com/title/tt0477348/	2007
20	1991	The Silence of the Lambs	https://www.imdb.com/title/tt0102926/	1991
21	1942	49th Parallel	https://www.imdb.com/title/tt0033627/	1942
22	1964	Topkapi	https://www.imdb.com/title/tt0058672/	1964
23	1994	A Time for Justice	https://www.imdb.com/title/tt0111436/	1994
24	2017	Sing	https://www.imdb.com/title/tt3470600/	2017
25	1962	The Miracle Worker	https://www.imdb.com/title/tt0056241/	1962
26	1959	The Diary of Anne Frank	https://www.imdb.com/title/tt0052738/	1959
27	1965	A Patch of Blue	https://www.imdb.com/title/tt0059573/	1965
28	2018	Three Billboards Outside Ebbing, Missouri	https://www.imdb.com/title/tt5027774/	2018
29	1943	The Human Comedy	https://www.imdb.com/title/tt0036022/	1943
30	2015	Boyhood	https://www.imdb.com/title/tt1065073/	2015
31	1972	The Godfather	https://www.imdb.com/title/tt1113794/	1972
32	1954	On the Waterfront	https://www.imdb.com/title/tt0047677/	1954
33	1997	mente indomable	https://www.imdb.com/title/tt0119217/	1997
34	1977	Annie Hall	https://www.imdb.com/title/tt0075686/	1977
35	1994	Pulp Fiction	https://www.imdb.com/title/tt0110912/	1994
36	2009	Inglourious Basterds	https://www.imdb.com/title/tt0361748/	2009
37	2015	Still Alice	https://www.imdb.com/title/tt3316960/	2015
38	1937	The Life of Emile Zola	https://www.imdb.com/title/tt0029146/	1937
39	2004	Mystic River	https://www.imdb.com/title/tt0327056/	2004
40	1946	To Each His Own	https://www.imdb.com/title/tt0039040/	1946
41	1976	The Omen	https://www.imdb.com/title/tt0075005/	1976
42	1977	Julia	https://www.imdb.com/title/tt0076245/	1977
43	1969	They Shoot Horses, Don't They?	https://www.imdb.com/title/tt0065088/	1969
44	1999	Affliction	https://www.imdb.com/title/tt0118564/	1999
45	1979	Being There	https://www.imdb.com/title/tt0078841/	1979
46	1965	A Thousand Clowns	https://www.imdb.com/title/tt0059798/	1965
47	1985	The Killing Fields	https://www.imdb.com/title/tt0087553/	1985
48	1997	Titanic	https://www.imdb.com/title/tt0115392/	1997
49	1981	The Fly	https://www.imdb.com/title/tt0091064/	1981
50	2008	La Vie en Rose	https://www.imdb.com/title/tt0450188/	2008
51	1986	Round Midnight	https://www.imdb.com/title/tt0090557/	1986
52	1968	The Lion in Winter	https://www.imdb.com/title/tt0063227/	1968
53	1935	The Informer	https://www.imdb.com/title/tt0026529/	1935
54	2020	Judy	https://www.imdb.com/title/tt7549996/	2020
55	1972	The Godfather	https://www.imdb.com/title/tt1113794/	1972
56	1992	Unforgiven	https://www.imdb.com/title/tt0105695/	1992
57	1959	Gigi	https://www.imdb.com/title/tt0051658/	1959
58	1989	My Left Foot	https://www.imdb.com/title/tt0097937/	1989
59	1966	Who's Afraid of Virginia Woolf?	https://www.imdb.com/title/tt0061184/	1966
60	1996	Quest	https://www.imdb.com/title/tt0114533/	1996
61	1996	Quest	https://www.imdb.com/title/tt0114533/	1996
62	1971	The French Connection	https://www.imdb.com/title/tt0067116/	1971
63	1967	A Man for All Seasons	https://www.imdb.com/title/tt0060665/	1967
64	1960	Spartacus	https://www.imdb.com/title/tt0054331/	1960
65	2003	The Lord of the Rings: The Return of the King	https://www.imdb.com/title/tt0167261/	2003
66	1985	Back to the Future	https://www.imdb.com/title/tt0088763/	1985
67	1996	The English Patient	https://www.imdb.com/title/tt0116209/	1996
68	1986	Platoon	https://www.imdb.com/title/tt0091763/	1986
69	1996	The English Patient	https://www.imdb.com/title/tt0116209/	1996
70	2014	Dallas Buyers Club	https://www.imdb.com/title/tt0790636/	2014
71	2011	Black Swan	https://www.imdb.com/title/tt0947798/	2011
72	1974	Murder on the Orient Express	https://www.imdb.com/title/tt0071877/	1974
73	1968	The Lion in Winter	https://www.imdb.com/title/tt0063227/	1968
74	2006	Babel	https://www.imdb.com/title/tt0826037/	2006
75	1954	On the Waterfront	https://www.imdb.com/title/tt0047677/	1954
76	1938	Kentucky	https://www.imdb.com/title/tt0028745/	1938
77	2018	Darkest Hour	https://www.imdb.com/title/tt4555426/	2018
78	1999	Boys Don't Cry	https://www.imdb.com/title/tt0171804/	1999
79	2008	Juno	https://www.imdb.com/title/tt0467406/	2008
80	1968	2001: A Space Odyssey	https://www.imdb.com/title/tt0062622/	1968
81	1993	Howards End	https://www.imdb.com/title/tt0104454/	1993
82	1976	All the President's Men	https://www.imdb.com/title/tt0074119/	1976
83	2002	A Beautiful Mind	https://www.imdb.com/title/tt0268978/	2002
84	1929	Coquette	https://www.imdb.com/title/tt0019788/	1929
85	1984	The Killing Fields	https://www.imdb.com/title/tt0087553/	1984
86	2019	Parasite	https://www.imdb.com/title/tt6751668/	2019
87	1968	The Producers	https://www.imdb.com/title/tt0063462/	1968
88	1988	A Fish Called Wanda	https://www.imdb.com/title/tt0095159/	1988
89	1937	The Good Earth	https://www.imdb.com/title/tt0028944/	1937
90	1939	Pygmalion	https://www.imdb.com/title/tt0030637/	1939
91	1985	Kiss of the Spider Woman	https://www.imdb.com/title/tt0089424/	1985
92	1960	Room at the Top	https://www.imdb.com/title/tt0053226/	1960
93	1985	Out of Africa	https://www.imdb.com/title/tt0089755/	1985
94	2005	Brokeback Mountain	https://www.imdb.com/title/tt0388795/	2005
95	1956	Love Is a Many-Splendored Thing	https://www.imdb.com/title/tt0048316/	1956
96	1951	A Streetcar Named Desire	https://www.imdb.com/title/tt0044081/	1951
97	2014	12 Years a Slave	https://www.imdb.com/title/tt2024544/	2014
98	2015	Birdman	https://www.imdb.com/title/tt2562232/	2015
99	1996	Quest	https://www.imdb.com/title/tt0114533/	1996
100	2002	Spirited Away	https://www.imdb.com/title/tt0245429/	2002
101	2017	La La Land	https://www.imdb.com/title/tt3783958/	2017
102	2017	Sing	https://www.imdb.com/title/tt3470600/	2017
103	2004	Million Dollar Baby	https://www.imdb.com/title/tt0405159/	2004
104	1998	As Good as It Gets	https://www.imdb.com/title/tt0119822/	1998
105	1995	Braveheart	https://www.imdb.com/title/tt0112573/	1995
106	1996	Leaving Las Vegas	https://www.imdb.com/title/tt0113627/	1996
107	2011	The Fighter	https://www.imdb.com/title/tt0964517/	2011
108	2000	Traffic	https://www.imdb.com/title/tt0188674/	2000
109	1956	Love Is a Many-Splendored Thing	https://www.imdb.com/title/tt0048316/	1956
110	1938	Boys Town	https://www.imdb.com/title/tt0029942/	1938
111	1940	The Westerner	https://www.imdb.com/title/tt0033253/	1940
112	1940	The Philadelphia Story	https://www.imdb.com/title/tt0032904/fullcredits	1940
113	1929	The Way of All Flesh	https://www.imdb.com/title/tt0019553/	1929
114	2005	The Aviator	https://www.imdb.com/title/tt0338751/	2005
115	2002	Adaptation	https://www.imdb.com/title/tt0268126/	2002
116	1997	The Full Monty	https://www.imdb.com/title/tt0119164/	1997
117	1944	Going My Way	https://www.imdb.com/title/tt0034828/	1944
118	1994	Ed Wood	https://www.imdb.com/title/tt0109707/	1994
119	1984	The Killing Fields	https://www.imdb.com/title/tt0087553/	1984
120	1993	Death Becomes Her	https://www.imdb.com/title/tt0104070/	1993
121	1986	Cocoon	https://www.imdb.com/title/tt0088933/	1986
122	1980	Raging Bull	https://www.imdb.com/title/tt0081398/	1980
123	2013	Gravity	https://www.imdb.com/title/tt2658118/	2013
124	1936	The Great Ziegfeld	https://www.imdb.com/title/tt0027698/	1936
125	1967	Born Free	https://www.imdb.com/title/tt0060182/	1967
126	2019	Bohemian Rhapsody	https://www.imdb.com/title/tt1727824/	2019
127	1949	Twelve O'Clock High	https://www.imdb.com/title/tt0041996/	1949
128	2014	The Theory of Everything	https://www.imdb.com/title/tt2980516/	2014
129	1954	On the Waterfront	https://www.imdb.com/title/tt0047677/	1954
130	2010	The Hurt Locker	https://www.imdb.com/title/tt0887912/	2010
131	2010	The Hurt Locker	https://www.imdb.com/title/tt0887912/	2010
132	1948	The Treasure of the Sierra Madre	https://www.imdb.com/title/tt0040897/	1948
133	1948	The Treasure of the Sierra Madre	https://www.imdb.com/title/tt0040897/	1948
134	1948	The Treasure of the Sierra Madre	https://www.imdb.com/title/tt0040897/	1948
135	2013	Lincoln	https://www.imdb.com/title/tt0443272/	2013
136	1939	Gone with the Wind	https://www.imdb.com/title/tt0031381/	1939
137	1960	Butterfield 8	https://www.imdb.com/title/tt0053622/	1960
