,birthplace,date_of_birth,race_ethnicity,religion,religion:confidence,sexual_orientation,year_of_award,award,biourl,movie,person,movieID,movie_IMDB_Link
0,"Chisinau, Moldova",30-Sep-1895,White,Na,1.0,Straight,1927,Best Director,http://www.nndb.com/people/320/000043191/,Two Arabian Knights,Lewis Milestone,tt0018515,https://www.imdb.com/title/tt0018515/
1,"Glasgow, Scotland",2-Feb-1886,White,Na,1.0,Straight,1930,Best Director,http://www.nndb.com/people/626/000042500/,The Divine Lady,Frank Lloyd,tt0019824,https://www.imdb.com/title/tt0019824/
2,"Chisinau, Moldova",30-Sep-1895,White,Na,1.0,Straight,1931,Best Director,http://www.nndb.com/people/320/000043191/,All Quiet on the Western Front,Lewis Milestone,tt0020629,https://www.imdb.com/title/tt0020629/
3,"Chicago, Il",23-Feb-1899,White,Na,1.0,Straight,1932,Best Director,http://www.nndb.com/people/544/000041421/,Skippy,Norman Taurog,tt0022397,https://www.imdb.com/title/tt0022397/
4,"Salt Lake City, Ut",23-Apr-1894,White,Roman Catholic,1.0,Straight,1933,Best Director,http://www.nndb.com/people/292/000044160/,Bad Girl,Frank Borzage,tt0021635,https://www.imdb.com/title/tt0021635/
5,"Glasgow, Scotland",2-Feb-1886,White,Na,1.0,Straight,1934,Best Director,http://www.nndb.com/people/626/000042500/,Cavalcade,Frank Lloyd,tt0023876,https://www.imdb.com/title/tt0023876/
6,"Bisacquino, Sicily, Italy",18-May-1897,White,Roman Catholic,1.0,Straight,1935,Best Director,http://www.nndb.com/people/459/000032363/,It Happened One Night,Frank Capra,tt0025316,https://www.imdb.com/title/tt0025316/
7,"Cadiz, Oh",1-Feb-1901,White,Na,1.0,Straight,1935,Best Actor,http://www.nndb.com/people/156/000027075/,It Happened One Night,Clark Gable,tt0025316,https://www.imdb.com/title/tt0025316/
8,"Paris, France",13-Sep-1903,White,Na,1.0,Straight,1935,Best Actress,http://www.nndb.com/people/935/000043806/,It Happened One Night,Claudette Colbert,tt0025316,https://www.imdb.com/title/tt0025316/
9,"Cape Elizabeth, Me",1-Feb-1894,White,Roman Catholic,1.0,Bisexual,1936,Best Director,http://www.nndb.com/people/458/000032362/,The Informer,John Ford,tt0026529,https://www.imdb.com/title/tt0026529/
10,"Tunbridge Wells, Kent, England",11-Dec-1883,White,Anglican/episcopalian,1.0,Straight,1936,Best Actor,http://www.nndb.com/people/452/000047311/,The Informer,Victor McLaglen,tt0026529,https://www.imdb.com/title/tt0026529/
11,"Bisacquino, Sicily, Italy",18-May-1897,White,Roman Catholic,1.0,Straight,1937,Best Director,http://www.nndb.com/people/459/000032363/,Mr. Deeds Goes to Town,Frank Capra,tt0027996,https://www.imdb.com/title/tt0027996/
